Local Authority,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Phone,Principal Name,Ethos/Religion,School Gender - Post Primary,Irish Classification - Post Primary,Female Enrolment,Male Enrolment,Total Enrolment
Fingal County Council,91316Q,Blakestown Community School,Blanchardstown,Dublin 15,,,018215522,MISS EILEEN O'CONNOR,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,231,269,500
Fingal County Council,91324P,Portmarnock Community School,Carrickhill Road,Portmarnock,Co Dublin,,018038056,MR. PATRICK J. O'RIORDAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,340,464,804
Fingal County Council,91325R,Malahide Community School,Broomfield,Malahide,Co. Dublin,,018463244,MRS. PATRICIA MCDONAGH,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,579,640,1219
Fingal County Council,91339F,Hartstown Community School,Clonsilla,Dublin 15,,,018207863,MR. JOHN BEAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,489,576,1065
Fingal County Council,91342R,Pobalscoil Neasáin,Baldoyle,Dublin 13,,,018063092,MR. PATRICK MCKENNA,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,163,444,607
Galway City Council,62960H,St Joseph's College,Nun's Island,Galway,,,091565980,MR. CIARAN DOYLE,CATHOLIC,Boys,No subjects taught through Irish,,784,784
Galway City Council,62970K,Coláiste Iognáid S.J.,Br. Na Mara,Gaillimh,,,091501550,MS. MARY JOYCE,CATHOLIC,Mixed,Some pupils taught some subjects through Irish,284,343,627
Galway City Council,62980N,St. Mary's College,St. Mary's Road,Galway,,,091522369,MR. CIARAN MURPHY,CATHOLIC,Boys,No subjects taught through Irish,,445,445
Galway City Council,62981P,Coláiste Einde,Threadneedle Road,Galway,,,091521407,MRS. JULIA QUINN,CATHOLIC,Mixed,No subjects taught through Irish,228,482,710
Galway City Council,62990Q,Dominican College,Taylors Hill,Galway,,,091523171,MRS. ELIZABETH KEAVENEY,CATHOLIC,Girls,No subjects taught through Irish,684,,684
Galway City Council,63000E,Presentation Secondary School,Presentation Rd,Galway,,,091563495,MISS CLIONA O'NEILL,CATHOLIC,Mixed,No subjects taught through Irish,244,2,246
Galway City Council,63001G,Jesus & Mary Secondary School,Salerno Secondary School,Threadneedle Rd,Salthill,Galway,091529500,SR. MARY GERARDA LAWLER,CATHOLIC,Girls,No subjects taught through Irish,574,,574
Galway City Council,63010H,Meán Scoil Mhuire,Newtownsmith,Galway,,,091566595,MR. BRENDAN PATRICK LYDON,CATHOLIC,Mixed,No subjects taught through Irish,263,1,264
Galway City Council,71330V,Coláiste na Coiribe,Bothar Thuama,Gaillimh,,,091753977,Tomás Mac Pháidín,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,164,195,359
Galway City Council,71340B,Galway Technical Institute,Father Griffin Road,Galway,,,091581342,Jim Brick,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,726,613,1339
Galway City Council,71400Q,Galway Community College,Wellpark,Galway,,,091755464,Mr Brian Melia,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,230,452,682
Galway County Council,62870G,Presentation College,Athenry,Co Galway,,,091844144,MR. GERARD DOHERTY,CATHOLIC,Mixed,No subjects taught through Irish,508,493,1001
Galway County Council,62880J,Colaiste Sheosaimh,Gearrbhaile,Beál Áth na Slua,Co na Gaillimhe,,0909642504,MR. STEPHEN REILLY,CATHOLIC,Boys,No subjects taught through Irish,,482,482
Galway County Council,62890M,Ardscoil Mhuire,Mackney,Ballinasloe,Co Galway,,0909642206,MS. PATRICIA KILGALLEN,CATHOLIC,Girls,No subjects taught through Irish,531,,531
Galway County Council,62900M,Coláiste Mhuire,Ballygar,Co. Galway,,,0906624740,MS. EMMA O'MALLEY,CATHOLIC,Mixed,No subjects taught through Irish,95,109,204
Galway County Council,62930V,St. Cuan's College,Castleblakney,Ballinasloe,Co Galway,,0909678127,MS. COLLETTE KENNEDY,CATHOLIC,Mixed,No subjects taught through Irish,144,128,272
Galway County Council,63040Q,Presentation College,Headford,Co. Galway,,,09335408,MR. JAMES G WHYTE,CATHOLIC,Mixed,No subjects taught through Irish,381,414,795
Galway County Council,63050T,Seamount College,Kinvara,Co Galway,,,091637362,MS. MAIGHREAD MHIC DHOMHNAILL,CATHOLIC,Mixed,No subjects taught through Irish,221,33,254
Galway County Council,63070C,St Raphaels College,Loughrea,Co Galway,,,091841062,MR. THOMAS CAFFERKY,CATHOLIC,Mixed,No subjects taught through Irish,213,155,368
Galway County Council,63090I,Holy Rosary College,Mountbellew,Co Galway,,,0909679222,MRS. MARY T WALSH,CATHOLIC,Mixed,No subjects taught through Irish,266,281,547
Galway County Council,63100I,Calasanctius College,Oranmore,Co Galway,,,091794564,MISS MARY CONLON,CATHOLIC,Mixed,No subjects taught through Irish,368,391,759
Galway County Council,63101K,St Pauls,Oughterard,Co Galway,,,091552689,MRS. ORLA MALONE,CATHOLIC,Mixed,No subjects taught through Irish,170,180,350
Galway County Council,63130R,Colaiste Chroi Mhuire,An Spideal,Co Na Gaillimhe,,,091553113,MS. TRIONA UI MHURCHU,CATHOLIC,Mixed,All pupils taught all subjects through Irish,106,122,228
Galway County Council,63160D,St. Brigid's School,Convent Of Mercy,Tuam,Co. Galway,,09324199,MR. GEAROID FRANCIS LEEN,CATHOLIC,Girls,No subjects taught through Irish,323,,323
Galway County Council,63170G,Presentation College,Currylea,Tuam,Co Galway,,09324575,MS. NEASA COSGROVE,CATHOLIC,Girls,No subjects taught through Irish,395,,395
Galway County Council,63171I,Mercy College,Woodford,Co Galway,,,0909749076,MS. LORETO CANNING,CATHOLIC,Mixed,No subjects taught through Irish,105,93,198
Galway County Council,68074M,St. Jarlaths College,TUAM,CO GALWAY,,,09324342,REV. BRENDAN KILCOYNE,CATHOLIC,Boys,No subjects taught through Irish,,502,502
Galway County Council,71250A,Colaiste Cholmcille,Indreabhán,Co na Gaillimhe,,,091593119,Peadar Ó Sé,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,137,122,259
Galway County Council,71270G,Gairmscoil Mhuire,Athenry,Co Galway,,,091844159,Mr. Alan Mongey,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,251,304,555
Galway County Council,71280J,St Brigids Vocational School,Loughrea,Co Galway,,,091841919,Mr Sean Connolly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,274,326,600
Galway County Council,71290M,Coláiste an Chreagáin,Mountbellew,Ballinasloe,Co Galway,,0909679231,Ms Ann-Marie Carroll,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,43,47,90
Galway County Council,71300M,Gairmscoil Éinne Oileain Arann,Cill Rónain,Inis Mór,Árainn,Co na Gaillimhe,09961184,Mícheál ó Goill,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,32,48,80
Galway County Council,71310P,Gairm Scoil Chilleáin Naofa,Cnoc Breac,New Inn,Ballinasloe,Co Galway,0909675811,Pádraig Kelly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,70,82,152
Galway County Council,71320S,Coláiste Naomh Feichín,Corr na Mona,Co na Gaillimhe,,,0949548006,Aine Bhreathnach,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,52,42,94
Galway County Council,71370K,Coláiste Ghobnait,Inis Oírr,Oileáin Arann,Cuan na Gaillimhe,,09975016,Caomhán Ó Conghaile,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,17,9,26
Galway County Council,71380N,Gairmscoil na bPiarsach,Ros Muc,Co na Gaillimhe,,,091574100,Peadar Ó Loideain,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,43,33,76
Galway County Council,71390Q,Archbishop McHale College,Dublin Road,Tuam,Co Galway,,09324237,Eileen Delaney,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,78,131,209
Galway County Council,76102K,GAELCHOLAISTE AN EACHRÈIDH,C/O CO.GALWAY VEC OFFICES,COILÈAR BÀN,ATHENRY,CO.GALWAY,091874260,Brian O'Maoilchiaran,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,54,51,105
Galway County Council,81012N,Scoil Chuimsitheach Chiaráin,An Cheathrú Rua,Co na Gaillimhe,,,091595215,MS. MAIRE DE BHALDRAITHE,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,143,181,324
Galway County Council,91411K,Scoil Phobail Mhic Dara,Carna,Co na Gaillimhe,,,09532245,UAS. DARA O MAOILCHIARAIN,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,60,51,111
Galway County Council,91412M,Scoil Phobail,Clifden,Co Galway,,,09521184,MR. WILLIAM BOLGER,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,197,212,409
Galway County Council,91413O,Portumna Community School,Portumna,Co. Galway,,,0909741053,MR. JOHN LONG,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,204,249,453
Galway County Council,91414Q,Dunmore Community School,Dunmore,Co Galway,,,09338203,MR. GABRIEL P MC MANUS,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,168,189,357
Galway County Council,91498C,Gort Community School,Gort,Co. Galway,,,091632163,MR. DENIS CORRY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,261,445,706
Galway County Council,91514U,GLENAMADDY COMMUNITY SCHOOL,GLENAMADDY,CO GALWAY,,,0949659315,MR. JAMES DUIGNAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,211,199,410
Kerry County Council,61220I,St. Joseph's Secondary School,Doon Road,Ballybunion,Co. Kerry,,06827205,MR. JOHN G O'DONOVAN,CATHOLIC,Mixed,No subjects taught through Irish,100,106,206
Kerry County Council,61250R,Meanscoil Phadraig Naofa,Castleisland,Co Kerry,,,0667141963,MR. DENIS J O'DONOVAN,CATHOLIC,Boys,No subjects taught through Irish,,122,122
Kerry County Council,61260U,Mean Scoil Naomh Ioseph,Clochar na Toirbhirte,Castleisland,Co Kerry,,0667141178,MISS EILEEN KENNELLY,CATHOLIC,Girls,No subjects taught through Irish,186,,186
Kerry County Council,61301I,Coláiste Íde,Baile an Ghóilín,Daingean Uí Chúis,Co Chiarraí,,0669151211,MISS AINE JULIA O' CARROLL,CATHOLIC,Girls,All pupils taught all subjects through Irish,145,,145
Kerry County Council,61320M,Coláiste Bhréanainn,Cill Airne,Co Chiarraí,,,0646631021,MR. SEAN PAUL COFFEY,CATHOLIC,Mixed,No subjects taught through Irish,5,474,479
Kerry County Council,61340S,St. Brigid's Secondary School,New Street,Killarney,Co. Kerry,,0646632209,MS. MGT.M MCCORMACK,CATHOLIC,Girls,No subjects taught through Irish,480,,480
Kerry County Council,61360B,The Intermediate School,Iveragh Road,Killorglin,Co. Kerry,,0669761246,JA GRIFFIN,CATHOLIC,Mixed,No subjects taught through Irish,378,367,745
Kerry County Council,61370E,St. Michael's College,Listowel,Co. Kerry,,,06821049,MR. JOHN MULVIHILL,CATHOLIC,Boys,No subjects taught through Irish,,174,174
Kerry County Council,61380H,Presentation Secondary School,Listowel,Co Kerry,,,06821452,SR. SHEILA NUALA O'LEARY,CATHOLIC,Girls,No subjects taught through Irish,338,,338
Kerry County Council,61410N,Presentation Secondary School,Miltown,Killarney,Co Kerry,,0669767168,MR. CORMAC BONNER,CATHOLIC,Mixed,No subjects taught through Irish,309,234,543
Kerry County Council,61440W,C.B.S. Secondary School,The Green,Tralee,Co. Kerry,,0667145824,Thomas O'Donnell,CATHOLIC,Boys,No subjects taught through Irish,,623,623
Kerry County Council,61450C,Presentation Secondary School,Tralee,Co Kerry,,,0667122737,MS. SHEILA MAGNIER,CATHOLIC,Girls,No subjects taught through Irish,703,,703
Kerry County Council,68070E,Mercy Secondary School,"Mounthawk,","Tralee,",Co. Kerry,,0667102550,MR. JOHN J O'ROARKE,CATHOLIC,Mixed,No subjects taught through Irish,603,565,1168
Kerry County Council,68075O,MEAN SCOIL NUA AN LEITH TRIUIGH,CAISLEAN GHRIAIRE,CO CHIARRAI,,,0667139746,AODAN MAC GEARAILT,CATHOLIC,Mixed,No subjects taught through Irish,60,70,130
Kerry County Council,70450D,Killarney Community College,New Road,Killarney,Co Kerry,,0646632164,Fiona O' Brien,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,152,191,343
Kerry County Council,70460G,Community College Killorglin,Killorglin,Co Kerry,,,0669761168,Mr Con Moynihan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,72,101,173
Kerry County Council,70500P,Listowel Community College,Listowel,Co Kerry,,,06821023,Carmel Kelly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,204,121,325
Kerry County Council,70520V,Castleisland Community College,Tonbwee,Castleisland,Co. Kerry,,0667141196,Mrs. Anne O'Sullivan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,103,201,304
Kerry County Council,70540E,Causeway Comprehensive School,Causeway,Co. Kerry,,,0667131197,Ms Lucille O Sullivan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,274,327,601
Kerry County Council,70550H,Tralee Community College,Clash,Tralee,,,0667121741,Mr. Brian Harkin,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,352,246,598
Kerry County Council,70560K,Gaelcholáiste Chiarraí,Tobar Mhaigh Dor,Trá Lí,Co Chiarraí,,0667121650,Austin Ó Seachnasaigh,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,134,149,283
Kerry County Council,76068N,Coláiste na Sceilge,Caherciveen,Co. Kerry,,,0669473335,John O'Connor,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,271,258,529
Kerry County Council,81006S,Tarbert Comprehensive School,Tarbert,Listowel,Co Kerry,,06836105,MRS. MARY MC GILLICUDDY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,244,389,633
Kerry County Council,91503P,Pobalscoil Inbhear Sceine,Kenmare,Co. Kerry,,,0646640846,MR. DERMOT JOHN HEALY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,241,253,494
Kerry County Council,91504R,Scoil Phobail Sliabh Luachra,Rathmore,Co. Kerry,,,0647758135,MR. DENIS KERINS,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,210,224,434
Kerry County Council,91511O,Pobalscoil Chorca Dhuibhne,Bóthar an Spá,An Daingean,Co. Chiarraí,,0669150055,UAS. PADRAIG FIRTEAR,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,228,234,462
Kildare County Council,61661P,Salesian College,Celbridge,Co. Kildare,,,016272166,MS. BRENDA KEARNS,CATHOLIC,Boys,No subjects taught through Irish,,693,693
Kildare County Council,61680T,Newbridge College,Newbridge,Co. Kildare,,,045487200,MR. MATTHEW O'SHEA,CATHOLIC,Mixed,No subjects taught through Irish,406,420,826
Kildare County Council,61681V,Patrician Secondary School,Newbridge,Co Kildare,,,045432410,MR. PATRICK O'LEARY,CATHOLIC,Boys,No subjects taught through Irish,,793,793
Kildare County Council,61682A,Holy Family Secondary School,Newbridge,Co. Kildare,,,045431957,MRS. ANGELA RYAN,CATHOLIC,Girls,No subjects taught through Irish,742,,742
Kildare County Council,61690W,Cross And Passion College,Kilcullen,Co Kildare,,,045481524,MS. CATHERINE ANN MOYNIHAN,CATHOLIC,Mixed,No subjects taught through Irish,334,332,666
Kildare County Council,61691B,Scoil Dara,Church St,Kilcock,Co Kildare,,016287258,MR. P J GANNON,CATHOLIC,Mixed,No subjects taught through Irish,387,440,827
Kildare County Council,61702D,St Pauls Secondary School,Monasterevin,Co Kildare,,,045525601,MR. BRIAN BERGIN,CATHOLIC,Mixed,No subjects taught through Irish,134,170,304
Kildare County Council,61710C,Meánscoil Iognáid Ris,Naas,Co Kildare,,,045866402,MR. NOEL MERRICK,CATHOLIC,Boys,No subjects taught through Irish,,845,845
Kildare County Council,61720F,Clongowes Wood College,Naas,Co Kildare,,,045868202,REV. LEONARD MOLONEY,CATHOLIC,Boys,No subjects taught through Irish,,458,458
Kildare County Council,61730I,Coláiste Naomh Mhuire,Convent Of Mercy,Sallins Rd.,Naas,Co Kildare,045879634,MISS MAIRE O'NEILL,CATHOLIC,Girls,No subjects taught through Irish,923,,923
Kildare County Council,68072I,GAEL CHOLAISTE CHILL DARA,Seanbhóthar Luimnigh,Nás na Ríogh,,CONTAE CHILL DARA,045898294,MR SEAMUS O'CEANAINN,CATHOLIC,Mixed,All pupils taught all subjects through Irish,108,67,175
Kildare County Council,68077S,Árdscoil na Trionóide,Rathstewart,Athy,Co Kildare,,0598633151,MR. ANTHONY CREEVEY,CATHOLIC,Mixed,No subjects taught through Irish,424,395,819
Kildare County Council,70650L,Athy Community College,Athy,Co Kildare,,,0598631795,Richard Daly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,140,143,283
Kildare County Council,70660O,Curragh Post-Primary School,McSwiney Road,Curragh,Co Kildare,,045441809,Val O'Brien,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,83,97,180
Kildare County Council,70670R,Colaiste Lorcain,Castledermot,Co. Kildare,,,0599144167,Mr. Michael Russell,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,162,193,355
Kildare County Council,70680U,St Conleth's Community College,Station Road,Newbridge,Co Kildare,,045431417,Mary Lonergan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,248,149,397
Kildare County Council,70691C,Confey Community College,Confey,Leixlip,Co Kildare,,016245322,Mr Niall Hare,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,335,374,709
Kildare County Council,70700A,Maynooth Post Primary School,Moyglare Rd,Maynooth,Co Kildare,,016286060,Mr. Johnny Nevin,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,507,548,1055
Kildare County Council,70710D,Piper's Hill College,Killashee,Naas,Co. Kildare,,045897885,Mr Colm O'Connor,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,345,383,728
Kildare County Council,70720G,St Farnan's Post Primary School,Prosperous,Co. Kildare,,,045868152,Ms. Patricia O' Brien,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,214,227,441
Kildare County Council,70730J,Ardscoil Rath Iomgháin,Rathangan,Co Kildare,,,045524384,Mr Paul Murphy (acting),INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,326,286,612
Kildare County Council,91371B,Leixlip Community School,Celbridge Road,Leixlip,Co. Kildare,,016243226,MR. JOSEPH SWEENEY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,272,340,612
Kildare County Council,91372D,Scoil Mhuire Community School,Clane,Naas,Co Kildare,,045868121,MR. PADRAIG NOLAN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,455,474,929
Kildare County Council,91505T,St Wolstan's Community School,Ballymakeely,Clane Rd,Celbridge,Co Kildare,016288257,MS. MARIA BARRY,INTER DENOMINATIONAL,Girls,No subjects taught through Irish,755,,755
Kildare County Council,91530S,KILDARE TOWN COMMUNITY SCHOOL,KILDARE,CO KILDARE,,,045535228,MR. PAT FLYNN,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,302,277,579
Kilkenny County Council,61510R,Coláiste Éamann Rís,Callan,Co Kilkenny,,,0567725340,MR. DENNIS MC KENNA,CATHOLIC,Boys,No subjects taught through Irish,,203,203
Kilkenny County Council,61520U,St. Brigid's College,Callan,Co. Kilkenny,,,0567725189,MR. PAT POWER,CATHOLIC,Girls,No subjects taught through Irish,324,,324
Kilkenny County Council,61550G,Meánscoil na mBráithre Criostaí,Sráid Shéamais,Cill Channaigh,,,0567721402,MR. THOMAS CLARKE,CATHOLIC,Boys,No subjects taught through Irish,,662,662
Kilkenny County Council,61560J,St Kieran's College,Secondary School,College Rd,Kilkenny,,0567761707,MR. JOHN J CURTIS,CATHOLIC,Boys,No subjects taught through Irish,,679,679
Kilkenny County Council,61570M,Kilkenny College,Castlecomer Road,Kilkenny,,,0567761544,MR. IAN COOMBES,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,308,464,772
Kilkenny County Council,61580P,Loreto Secondary School,Granges Road,Kilkenny,,,0567765132,MR. COLM KEHER,CATHOLIC,Girls,No subjects taught through Irish,801,,801
Kilkenny County Council,61590S,Presentation Secondary School,Loughboy,Kilkenny,,,0567765684,MR. SHANE HALLAHAN,CATHOLIC,Girls,No subjects taught through Irish,652,,652
Kilkenny County Council,70570N,Scoil Aireagail,Ballyhale,Kilkenny,,,0567768632,Marie Butler,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,126,144,270
Kilkenny County Council,70590T,Duiske College,Graignamanagh,Co Kilkenny,,,0599724177,Mr. Pat Murphy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,64,82,146
Kilkenny County Council,70600T,Coláiste Mhuire,Johnstown,Co Kilkenny,,,0568831135,John Cahill,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,210,259,469
Kilkenny County Council,70610W,City Vocational School,"New Street,",Kilkenny,,,0567722108,Cathy McSorley,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,215,172,387
Kilkenny County Council,70620C,Coláiste Cois Siúire,Mooncoin,Co Kilkenny,,,051895112,Paul Duggan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,50,100,150
Kilkenny County Council,70640I,Grennan College,Ladywell St,Thomastown,Co Kilkenny,,0567724112,Sean Og O'Sullivan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,174,186,360
Kilkenny County Council,70641K,Coláiste Pobail Osraí,Bóthar Urmhumhan,Cill Chainnigh,,,0567764557,Cathnia ó Muircheartaigh,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,71,68,139
Kilkenny County Council,76082H,Abbey Community College,Abbey Rd,Ferrybank,Waterford,,051832930,Detta Cahill,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,327,342,669
Kilkenny County Council,91360T,Community School,Castlecomer,Co Kilkenny,,,0564441447,MR. SEAMUS O'CONNOR,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,308,295,603
Laois County Council,63430G,St. Mary's C.B.S.,Borris Road,Portlaoise,Co. Laois,,0578635041,MR. ANTHONY J BRADY,CATHOLIC,Boys,No subjects taught through Irish,,525,525
Laois County Council,63451O,Scoil Chriost Ri,Presentation Secondary School,Borris Road,Portlaoise,Co Laois,0578668002,MISS HELEN O'DONNELL,CATHOLIC,Girls,No subjects taught through Irish,609,,609
Laois County Council,68068R,Coláiste Íosagáin,Portarlington,Co. Laois,,,0578623407,MR. SEAMUS FINTAN BENNETT,CATHOLIC,Mixed,No subjects taught through Irish,359,394,753
Laois County Council,71470O,Clonaslee Vocational School,Clonaslee,Co. Laois,,,0578648044,Noreen Sweeney,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,107,130,237
Laois County Council,71510A,Portlaoise College,Mountrath Road,Portlaoise,Co. Laois,,0578621480,Ms. Colette Dunning,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,309,308,617
Laois County Council,71520D,St Fergal's College,Rathdowney,Co Laois,,,050546357,Mrs. Aine O'Neill,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,148,159,307
Laois County Council,91426A,Mountmellick Community School,Mountmellick,Co Laois,,,0578624220,Mr Eric Gaughran,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,273,250,523
Laois County Council,91427C,Heywood Community School,Ballinakill,Portlaoise,Co. Laois,,0578733333,MR. PHILIP BOWE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,320,367,687
Laois County Council,91550B,MOUNTRATH COMMUNITY SCHOOL,MOUNTRATH,CO LAOIS,,,0578741080,MR. MARTIN GLEESON,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,382,312,694
Leitrim County Council,63460P,Ballinamore Post Primary Schools,Ballinamore,Co Leitrim,,,0719644049,MR. PATRICK J. LEYDEN,CATHOLIC,Mixed,No subjects taught through Irish,130,159,289
Leitrim County Council,71540J,Carrigallen Vocational School,Carrigallen,Co Leitrim,,,0494339640,Declan Conboy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,120,124,244
Leitrim County Council,71560P,Lough Allen College,Drumkeerin,Co Leitrim,,,0719648017,David Harding,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,73,108,181
Leitrim County Council,71570S,Vocational School,Drumshanbo,Co Leitrim,,,0719641085,Mr. Martin Fallon,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,164,181,345
Leitrim County Council,76089V,MOHILL COMMUNITY COLLEGE,MOHILL,CO LEITRIM,,,0719631208,Ms. Una Duffy,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,189,163,352
Leitrim County Council,81013P,St. Clare's Comprehensive School,Manorhamilton,Co. Leitrim,,,0719855087,MR. JOHN T IRWIN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,209,267,476
Leitrim County Council,91496V,Community School,Carrick-On-Shannon,Leitrim,,,0719620880,MR. ADRIAN JACKSON,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,275,297,572
Limerick City Council,64200R,Colaiste Mhichil,Sexton Street,Limerick,,,061416628,MR. THOMAS EDWARD PRENDERGAST,CATHOLIC,Boys,No subjects taught through Irish,,454,454
Limerick City Council,64201T,Ardscoil Ris,North Circular Rd,Limerick,,,061453828,BN. BRID DE BRUN,CATHOLIC,Boys,No subjects taught through Irish,,745,745
Limerick City Council,64220A,St Clements College,South Circular Road,Limerick,,,061315878,MR. JOHN V FOLEY,CATHOLIC,Boys,No subjects taught through Irish,,470,470
Limerick City Council,64240G,St Munchin's College,Corbally,Limerick,,,061348922,REV. CHARLES IRWIN,CATHOLIC,Boys,No subjects taught through Irish,,544,544
Limerick City Council,64250J,Presentation Secondary School,Sexton Street,Limerick,,,061410390,MISS ANN M. CUMMINS,CATHOLIC,Mixed,No subjects taught through Irish,445,78,523
Limerick City Council,64260M,Laurel Hill Secondary School FCJ,Laurel Hill,South Circular Road,Limerick,,061319383,MR. MICHAEL CREGAN,CATHOLIC,Girls,No subjects taught through Irish,613,,613
Limerick City Council,64270P,Laurel Hill Coláiste FCJ,Cnoc Na Labhras,Luimneach,,,061313636,MS. AEDIN NI BHRIAIN,CATHOLIC,Girls,All pupils taught all subjects through Irish,406,,406
Limerick City Council,64280S,Salesian Secondary School,Fernbank,North Circular Road,Limerick,,061454093,SR. BRIDGET O'CONNELL,CATHOLIC,Girls,No subjects taught through Irish,284,,284
Limerick City Council,64290V,Ardscoil Mhuire,Corbally,Limerick,,,061349014,MRS. COLLETTE MC GRATH,CATHOLIC,Girls,No subjects taught through Irish,266,,266
Limerick City Council,64300V,Scoil Carmel,O'Connell Avenue,Limerick,,,061229511,MRS. GILLIAN O'CALLAGHAN,CATHOLIC,Girls,No subjects taught through Irish,293,,293
Limerick City Council,64310B,Villiers Secondary School,North Circular Road,Limerick,,,061451447,MS. JILL STOREY,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,323,237,560
Limerick City Council,71920T,St Nessan's Community College,Moylish Park,Moylish,Limerick,,061452422,Mr Eugene O'Brien,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,150,179,329
Limerick City Council,71930W,"Limerick College of Further Ed.,Limerick Senior College",Mulgrave Street,Limerick,,,061414344,Mr. Pat Maunsell,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,770,414,1184
Limerick City Council,76101I,GAELCHOLÁISTE LUIMNIGH,MEAL SIOR ANRAÍ,LUIMNEACH,,,061404959,Donncha Ó Treasaigh,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,233,157,390
Limerick City Council,81014R,Crescent College Comprehensive,Dooradoyle Rd,Dooradoyle,Limerick,,061229655,MR. NICHOLAS JOHN CUDDIHY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,374,505,879
